case_id,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5
delhidc_2021_177284447,0,1,0,0,0,0
greentribunal_2022_84653575,0,0,0,0,0,0
aptel_2021_61579331,0,0,1,0,0,0
delhi_2016_49402373,0,0,0,0,0,0
madhyapradesh_2017_93874973,0,0,0,0,0,0
orissa_2021_22865746,0,0,0,0,0,0
chennai_2016_143767302,0,0,0,0,0,0
cic_2019_70253159,0,0,0,0,0,0
jammu_2020_146615241,0,0,0,0,0,0
gujarat_2021_106265572,0,0,0,0,0,0
jaipur_2022_157651411,0,0,0,0,0,0
jaipur_2024_173909948,0,0,1,0,0,0
chennai_2023_97612986,0,0,0,0,0,0
scorders_2015_51929245,0,0,0,0,0,0
manipur_2021_163806637,0,0,0,0,0,0
kerala_2023_79027867,1,0,0,0,0,0
chattisgarh_2023_176276427,0,0,0,0,0,0
sikkim_2025_94532254,0,0,1,0,1,0
gujarat_2016_130218990,1,0,0,0,0,0
delhiorders_2021_37051738,0,0,0,0,0,0
jodhpur_2019_169290596,0,0,0,0,0,0
sikkim_2018_118956709,0,0,1,0,0,1
itat_2016_53414130,0,0,0,0,0,0
madhyapradesh_2021_62734450,1,0,0,0,0,0
jammu_2025_13195192,1,0,1,0,0,0
delhiorders_2021_30151351,0,0,0,0,0,0
consumer_2019_73740423,0,0,0,0,0,0
punjab_2021_123768136,0,0,0,0,0,0
greentribunal_2023_113167508,1,0,1,0,0,0
loksabha_2015_24260698,1,0,0,0,0,0
itat_2015_12484373,0,0,0,0,0,0
punjab_2023_108924261,0,0,0,0,0,0
punjab_2016_36032543,0,0,0,0,0,0
kolkata_2023_183373289,0,0,1,0,0,0
delhidc_2025_96395272,1,1,1,0,1,1
delhidc_2021_21208347,0,0,1,0,0,0
chennai_2023_79860159,0,0,0,0,0,0
gujarat_2019_25819379,0,0,0,0,0,0
himachal_pradesh_2020_136540816,1,0,0,0,1,0
orissa_2024_181977493,0,0,0,0,0,1
patna_2018_79258263,0,0,0,0,0,0
himachal_pradesh_2015_126817053,1,0,0,0,0,0
chattisgarh_2018_190922247,0,0,0,0,0,0
kolkata_app_2017_69248274,0,0,0,0,0,0
chennai_2017_116201344,0,0,0,0,0,0
kolkata_app_2016_85825733,0,0,0,0,0,0
cat_2019_28076956,0,0,0,0,0,0
delhiorders_2020_166470128,0,0,0,0,0,0
allahabad_2020_39069297,0,0,0,0,0,0
himachal_pradesh_2023_106340356,0,0,0,0,0,0
delhiorders_2024_104111937,0,0,1,0,0,0
loksabha_2016_161173420,0,0,0,0,0,0
loksabha_2018_83081536,1,0,1,0,0,0
delhi_2017_71566652,0,0,0,0,0,0
punjab_2020_5083057,0,0,0,0,0,0
amravati_2025_111163783,0,0,1,0,0,0
allahabad_2016_78044231,0,0,0,0,0,0
consumer_2021_173587006,0,0,0,0,0,0
supremecourt_2022_112342327,0,0,0,0,0,0
cci_2015_73877779,0,0,0,0,0,0
itat_2021_13231311,0,0,0,0,0,0
madhyapradesh_2017_77134275,1,0,0,0,0,0
jharkhand_2018_160096955,0,0,0,0,0,0
bangaloredc_2021_162562556,0,1,0,0,0,0
scorders_2017_91000193,0,0,1,0,0,0
cestat_2020_33775940,0,0,1,0,0,0
allahabad_2015_143660401,0,0,0,0,0,0
bangaloredc_2025_167062059,0,0,0,0,0,0
allahabad_2018_187131091,0,0,0,0,0,0
itat_2022_73663177,0,0,1,0,0,0
bombay_2017_126482785,0,0,0,0,0,0
uttaranchal_2022_151846276,0,0,1,0,0,0
supremecourt_2017_181931435,0,0,1,0,0,0
delhi_2018_159300322,0,0,1,0,0,0
himachal_pradesh_2017_42087203,0,0,1,0,0,1
cestat_2015_93889193,0,0,0,0,0,0
cestat_2018_41321198,0,0,0,0,0,0
tripura_2019_33344928,0,0,0,0,0,0
sikkim_2021_149677358,0,0,1,0,0,0
scorders_2018_26003907,0,0,0,0,0,0
orissa_2015_13390840,0,0,0,0,0,0
patna_2025_60603330,0,0,1,0,0,0
kolkata_2020_49262414,0,0,1,0,0,0
patna_orders_2022_82767311,1,0,1,0,0,0
jaipur_2017_77793104,0,0,0,0,0,0
punjab_2024_136027261,0,0,0,0,0,0
cestat_2016_168710730,0,0,0,0,0,0
jharkhand_2019_132791966,0,0,0,0,0,0
jodhpur_2020_185396651,0,0,0,0,0,0
scorders_2023_57020921,0,0,0,0,0,0
jammu_2015_141690492,0,0,0,0,0,0
itat_2017_111288636,1,0,1,0,0,0
jodhpur_2017_153492731,0,0,0,0,0,0
delhi_2020_93775763,0,0,0,0,0,0
bangaloredc_2021_29924709,0,0,0,0,0,0
chattisgarh_2022_106014379,0,0,0,0,0,0
gujarat_2016_185380767,0,0,0,0,0,0
delhiorders_2020_161116853,0,0,0,0,0,0
itat_2015_185355672,1,0,0,1,0,0
cat_2016_161491153,0,0,0,0,0,0
supremecourt_2019_81263073,0,0,0,0,0,0
jammu_2022_72775306,0,0,0,0,0,0
madhyapradesh_2018_80846534,0,0,0,0,0,0
patna_2021_85103261,0,0,0,0,0,0
patna_2024_113570890,1,1,0,0,0,0
loksabha_2016_197094770,1,0,1,0,0,0
jammu_2018_122675290,0,0,0,0,0,0
himachal_pradesh_2023_75157733,0,0,0,0,0,0
jodhpur_2023_107828852,0,0,0,0,0,0
orissa_2018_44552775,0,0,0,0,0,0
manipur_2025_2326507,0,0,0,0,0,0
uttaranchal_2015_168484974,0,0,0,0,0,0
gauhati_2021_119241565,0,0,0,0,0,0
bangaloredc_2015_100230303,1,0,0,0,0,0
sikkim_2018_180061731,1,0,0,0,1,0
loksabha_2020_102486642,1,0,0,0,0,0
itat_2015_87473048,0,0,1,0,0,0
chennai_2015_97595171,0,0,0,0,0,0
meghalaya_2016_139745703,0,0,0,0,0,0
sebisat_2022_47671926,0,0,0,0,0,0
orissa_2025_103009788,1,0,0,0,0,0
bombay_2021_158144097,0,0,0,0,0,0
jharkhand_2023_110740542,0,0,0,0,0,0
consumer_2022_62892777,0,0,0,0,0,0
himachal_pradesh_2022_40315608,0,0,0,0,0,0
consumer_2017_107031695,0,0,0,0,0,0
kolkata_2022_153937766,0,0,0,0,0,0
scorders_2017_112442753,0,0,1,0,0,0
manipur_2021_58219829,0,0,0,0,0,0
andhra_2016_83956784,0,0,0,0,0,0
chattisgarh_2024_186289182,0,0,0,0,0,0
punjab_2015_39713262,0,0,0,0,0,0
greentribunal_2019_72505656,0,0,0,0,0,0
aptel_2024_40499126,0,0,1,0,0,0
