case_id,primary_section,is_ipc
delhidc_2021_177284447,Other,0
greentribunal_2022_84653575,Other,0
aptel_2021_61579331,Other,0
delhi_2016_49402373,Other,0
madhyapradesh_2017_93874973,Other,0
orissa_2021_22865746,Other,0
chennai_2016_143767302,Other,0
cic_2019_70253159,8,0
jammu_2020_146615241,Other,0
gujarat_2021_106265572,Other,0
jaipur_2022_157651411,Other,0
jaipur_2024_173909948,64,0
chennai_2023_97612986,Other,0
scorders_2015_51929245,Other,0
manipur_2021_163806637,Other,0
kerala_2023_79027867,Other,0
chattisgarh_2023_176276427,Other,0
sikkim_2025_94532254,Other,1
gujarat_2016_130218990,Other,0
delhiorders_2021_37051738,Other,0
jodhpur_2019_169290596,Other,0
sikkim_2018_118956709,Other,0
itat_2016_53414130,Other,0
madhyapradesh_2021_62734450,Other,0
jammu_2025_13195192,Other,0
delhiorders_2021_30151351,Other,0
consumer_2019_73740423,Other,0
punjab_2021_123768136,Other,0
greentribunal_2023_113167508,2,0
loksabha_2015_24260698,Other,0
itat_2015_12484373,Other,0
punjab_2023_108924261,Other,0
punjab_2016_36032543,Other,0
kolkata_2023_183373289,29,0
delhidc_2025_96395272,Other,0
delhidc_2021_21208347,Other,0
chennai_2023_79860159,Other,0
gujarat_2019_25819379,Other,0
himachal_pradesh_2020_136540816,Other,1
orissa_2024_181977493,Other,0
patna_2018_79258263,Other,0
himachal_pradesh_2015_126817053,Other,0
chattisgarh_2018_190922247,Other,0
kolkata_app_2017_69248274,Other,0
chennai_2017_116201344,2,0
kolkata_app_2016_85825733,Other,0
cat_2019_28076956,Other,0
delhiorders_2020_166470128,Other,0
allahabad_2020_39069297,Other,0
himachal_pradesh_2023_106340356,Other,0
delhiorders_2024_104111937,Other,0
loksabha_2016_161173420,Other,0
loksabha_2018_83081536,Other,0
delhi_2017_71566652,19,0
punjab_2020_5083057,43,0
amravati_2025_111163783,Other,0
allahabad_2016_78044231,Other,0
consumer_2021_173587006,Other,0
supremecourt_2022_112342327,2,0
cci_2015_73877779,26,0
itat_2021_13231311,36,0
madhyapradesh_2017_77134275,Other,0
jharkhand_2018_160096955,Other,0
bangaloredc_2021_162562556,Other,0
scorders_2017_91000193,Other,0
cestat_2020_33775940,73,0
allahabad_2015_143660401,Other,0
bangaloredc_2025_167062059,Other,0
allahabad_2018_187131091,Other,0
itat_2022_73663177,Other,0
bombay_2017_126482785,Other,0
uttaranchal_2022_151846276,2,0
supremecourt_2017_181931435,Other,0
delhi_2018_159300322,Other,0
himachal_pradesh_2017_42087203,Other,0
cestat_2015_93889193,Other,0
cestat_2018_41321198,75,0
tripura_2019_33344928,Other,0
sikkim_2021_149677358,Other,0
scorders_2018_26003907,Other,0
orissa_2015_13390840,Other,0
patna_2025_60603330,Other,0
kolkata_2020_49262414,16,0
patna_orders_2022_82767311,Other,0
jaipur_2017_77793104,Other,0
punjab_2024_136027261,Other,0
cestat_2016_168710730,Other,0
jharkhand_2019_132791966,Other,0
jodhpur_2020_185396651,Other,0
scorders_2023_57020921,Other,0
jammu_2015_141690492,Other,0
itat_2017_111288636,Other,0
jodhpur_2017_153492731,Other,0
delhi_2020_93775763,Other,0
bangaloredc_2021_29924709,313,0
chattisgarh_2022_106014379,Other,0
gujarat_2016_185380767,Other,0
delhiorders_2020_161116853,Other,0
itat_2015_185355672,Other,0
cat_2016_161491153,Other,0
supremecourt_2019_81263073,Other,0
jammu_2022_72775306,Other,0
madhyapradesh_2018_80846534,Other,0
patna_2021_85103261,67,0
patna_2024_113570890,Other,0
loksabha_2016_197094770,Other,0
jammu_2018_122675290,103,0
himachal_pradesh_2023_75157733,Other,0
jodhpur_2023_107828852,Other,0
orissa_2018_44552775,Other,0
manipur_2025_2326507,Other,0
uttaranchal_2015_168484974,Other,0
gauhati_2021_119241565,2,0
bangaloredc_2015_100230303,Other,0
sikkim_2018_180061731,43,0
loksabha_2020_102486642,Other,0
itat_2015_87473048,Other,0
chennai_2015_97595171,Other,0
meghalaya_2016_139745703,Other,0
sebisat_2022_47671926,Other,0
orissa_2025_103009788,Other,0
bombay_2021_158144097,Other,0
jharkhand_2023_110740542,378,0
consumer_2022_62892777,14,0
himachal_pradesh_2022_40315608,Other,0
consumer_2017_107031695,Other,0
kolkata_2022_153937766,143,0
scorders_2017_112442753,41,0
manipur_2021_58219829,Other,0
andhra_2016_83956784,Other,0
chattisgarh_2024_186289182,Other,0
punjab_2015_39713262,Other,0
greentribunal_2019_72505656,Other,0
aptel_2024_40499126,2,0
jammu_2017_15816587,Other,0
meghalaya_2024_194538878,Other,0
bombay_2019_23108957,Other,0
delhi_2016_23925646,Other,0
cestat_2024_55684877,78,0
amravati_2023_58980731,13,0
punjab_2016_139237229,Other,0
punjab_2016_147666594,Other,0
consumer_2016_98766778,Other,0
supremecourt_2020_154710601,Other,0
cat_2018_141748889,22,0
nclat_2019_176145534,18,0
punjab_2016_199166467,482,1
srinagar_2016_117239751,Other,0
kerala_2022_135347973,Other,0
patna_2024_184141590,16,1
karnataka_2018_152961474,Other,0
jharkhand_2015_188745190,464,0
greentribunal_2017_92622153,Other,0
gujarat_2025_112624489,Other,0
chennai_2023_99309430,Other,0
patna_2020_29192798,Other,0
uttaranchal_2016_95274447,Other,0
amravati_2022_84919527,Other,0
madhyapradesh_2025_190217075,16,0
karnataka_2022_80232376,Other,0
cic_2018_180527707,Other,0
sikkim_2016_75606451,Other,0
chattisgarh_2018_21107028,Other,0
tripura_2025_199410841,Other,0
delhi_2018_78005621,65b,0
cestat_2017_178234447,Other,0
sikkim_2018_15064179,Other,0
uttaranchal_2019_107314137,Other,0
chattisgarh_2020_97836739,Other,0
cci_2023_70571467,19,0
gauhati_2018_94701120,Other,1
andhra_2015_33534920,Other,0
