case_id,total_evidence_mentions,scientific_reports,memos_panchnama,declarations_confessions,procedural_docs,witness_testimony,legal_deeds
delhidc_2021_177284447,47,,,,45,1,1
greentribunal_2022_84653575,0,,,,,,
aptel_2021_61579331,19,,,,,,19
delhi_2016_49402373,0,,,,,,
madhyapradesh_2017_93874973,0,,,,,,
orissa_2021_22865746,0,,,,,,
chennai_2016_143767302,0,,,,,,
cic_2019_70253159,0,,,,,,
jammu_2020_146615241,0,,,,,,
gujarat_2021_106265572,2,,,,2,,
jaipur_2022_157651411,3,,,,3,,
jaipur_2024_173909948,1,,,,,,1
chennai_2023_97612986,8,,,,,,8
scorders_2015_51929245,0,,,,,,
manipur_2021_163806637,0,,,,,,
kerala_2023_79027867,2,2,,,,,
chattisgarh_2023_176276427,0,,,,,,
sikkim_2025_94532254,30,,1,,5,2,22
gujarat_2016_130218990,7,2,,,5,,
delhiorders_2021_37051738,0,,,,,,
jodhpur_2019_169290596,0,,,,,,
sikkim_2018_118956709,87,2,,,52,,33
itat_2016_53414130,1,,,,,,1
madhyapradesh_2021_62734450,2,1,,,,,1
jammu_2025_13195192,474,466,,,3,2,3
delhiorders_2021_30151351,0,,,,,,
consumer_2019_73740423,1,,,,,,1
punjab_2021_123768136,0,,,,,,
greentribunal_2023_113167508,30,7,,,1,9,13
loksabha_2015_24260698,3,2,,,1,,
itat_2015_12484373,0,,,,,,
punjab_2023_108924261,9,,,,9,,
punjab_2016_36032543,0,,,,,,
kolkata_2023_183373289,2,,,,,,2
delhidc_2025_96395272,471,9,10,17,379,44,12
delhidc_2021_21208347,5,,,,,,5
chennai_2023_79860159,0,,,,,,
gujarat_2019_25819379,0,,,,,,
himachal_pradesh_2020_136540816,11,2,,,9,,
orissa_2024_181977493,19,,,,2,,17
patna_2018_79258263,0,,,,,,
himachal_pradesh_2015_126817053,15,12,,,3,,
chattisgarh_2018_190922247,0,,,,,,
kolkata_app_2017_69248274,0,,,,,,
chennai_2017_116201344,0,,,,,,
kolkata_app_2016_85825733,0,,,,,,
cat_2019_28076956,0,,,,,,
delhiorders_2020_166470128,0,,,,,,
allahabad_2020_39069297,0,,,,,,
himachal_pradesh_2023_106340356,0,,,,,,
delhiorders_2024_104111937,3,,,,2,,1
loksabha_2016_161173420,0,,,,,,
loksabha_2018_83081536,3,1,,,,,2
delhi_2017_71566652,1,,,,,,1
punjab_2020_5083057,0,,,,,,
amravati_2025_111163783,1,,,,,,1
allahabad_2016_78044231,0,,,,,,
consumer_2021_173587006,0,,,,,,
supremecourt_2022_112342327,2,,,,,,2
cci_2015_73877779,0,,,,,,
itat_2021_13231311,3,,,,,,3
madhyapradesh_2017_77134275,14,14,,,,,
jharkhand_2018_160096955,1,,,,1,,
bangaloredc_2021_162562556,20,,,,12,3,5
scorders_2017_91000193,2,,,,,,2
cestat_2020_33775940,70,,,,1,,69
allahabad_2015_143660401,0,,,,,,
bangaloredc_2025_167062059,0,,,,,,
